galaxy,kappa_mean_20_50,gamma_abs_mean_20_50
CamB,0.019262874498963356,0.0420636385679245
D631-7,0.03327082470059395,0.05162237957119942
DDO064,0.022712908685207367,0.044479791074991226
DDO154,0.03869793191552162,0.054783184081315994
DDO161,0.03406555578112602,0.052551060914993286
DDO168,0.03336779400706291,0.05213110148906708
DDO170,0.03360459953546524,0.05245208367705345
ESO079-G014,0.012706739827990532,0.03778490796685219
ESO116-G012,0.015768932178616524,0.03993932902812958
ESO444-G084,0.0348074808716774,0.05206993222236633
ESO563-G021,0.01244308426976204,0.03758300095796585
F563-1,0.02659725211560726,0.047537434846162796
F563-V2,0.015109577216207981,0.03949187323451042
F565-V2,0.028585467487573624,0.04893777146935463
F568-1,0.014478298835456371,0.03900575265288353
F568-3,0.013229508884251118,0.038156189024448395
F568-V1,0.014603197574615479,0.03912485018372536
F571-8,0.012637724168598652,0.03771398961544037
F571-V1,0.02516455017030239,0.04646530747413635
F574-1,0.014161428436636925,0.0387926921248436
F579-V1,0.013641763478517532,0.038449496030807495
F583-1,0.013620154932141304,0.03846167400479317
F583-4,0.014303852804005146,0.03892890736460686
IC2574,0.019452359527349472,0.042520757764577866
