bin_left,bin_right,gobs_median,gobs_p16,gobs_p84,count
-12.1,-11.9,-10.888237698414628,-10.907324315205335,-10.855182808327779,4
-11.9,-11.7,-10.851227318071519,-10.957894068808178,-10.801274120910822,14
-11.7,-11.5,-10.793873929598266,-10.95478794405144,-10.598036826419685,74
-11.5,-11.3,-10.733614819739017,-10.899799807224776,-10.582950251807336,194
-11.3,-11.1,-10.663066354536134,-10.81427132515056,-10.49196611127155,284
-11.1,-10.9,-10.549667433896976,-10.709868645832504,-10.384385936372174,350
-10.9,-10.7,-10.421350224582707,-10.58660067272453,-10.286212604591451,339
-10.7,-10.5,-10.324233278114303,-10.419332134884284,-10.16034770362299,268
-10.5,-10.3,-10.19371664444725,-10.319080928456259,-10.064169727218369,225
-10.3,-10.1,-10.089033043741631,-10.245063176698785,-9.938211711313192,248
-10.1,-9.9,-9.964223851928725,-10.077288494446455,-9.830775528899464,228
-9.9,-9.7,-9.818634783026358,-9.949678699123497,-9.689804141453806,234
-9.7,-9.5,-9.660432905666747,-9.795075456647156,-9.525222719040938,201
-9.5,-9.3,-9.521198489949073,-9.670010825305308,-9.382074709135116,150
-9.3,-9.1,-9.335116906964606,-9.45388541879486,-9.25960148966086,126
-9.1,-8.899999999999999,-9.186875598816552,-9.312051420651365,-9.106480107255104,95
-8.899999999999999,-8.7,-9.016696883137042,-9.152904085946927,-8.909405190896036,60
-8.7,-8.5,-8.793160060983714,-8.92733532244663,-8.671415227215093,30
